
> nexus-creator@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.111:3000
- Environments: .env.local
✓ Ready in 322ms
{"level":"info","msg":"server.start","time":"2026-06-10T11:50:28.257Z","env":"development","runtime":"nodejs","node":"v24.15.0"}

 GET /community 200 in 544ms (next.js: 71ms, proxy.ts: 148ms, application-code: 325ms)
 GET /api/auth/session 200 in 779ms (next.js: 730ms, proxy.ts: 7ms, application-code: 42ms)
 GET /api/auth/session 200 in 25ms (next.js: 11ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/follow 200 in 754ms (next.js: 60ms, proxy.ts: 35ms, application-code: 660ms)
 GET /api/notifications 200 in 761ms (next.js: 59ms, proxy.ts: 11ms, application-code: 691ms)
 GET /api/user/profile 200 in 759ms (next.js: 147ms, proxy.ts: 36ms, application-code: 576ms)
 GET /api/groups 200 in 839ms (next.js: 124ms, proxy.ts: 36ms, application-code: 679ms)
 GET /api/team/accounts 200 in 886ms (next.js: 31ms, proxy.ts: 5ms, application-code: 851ms)
 GET /api/posts 200 in 929ms (next.js: 101ms, proxy.ts: 35ms, application-code: 792ms)
 GET /api/groups 401 in 26ms (next.js: 4ms, proxy.ts: 6ms, application-code: 16ms)
 GET /api/notifications 200 in 451ms (next.js: 3ms, proxy.ts: 5ms, application-code: 443ms)
 GET /api/notifications 200 in 520ms (next.js: 2ms, proxy.ts: 3ms, application-code: 515ms)
 GET /api/notifications 200 in 459ms (next.js: 4ms, proxy.ts: 5ms, application-code: 450ms)
 GET /api/notifications 200 in 513ms (next.js: 6ms, proxy.ts: 6ms, application-code: 501ms)
 GET /api/auth/session 200 in 35ms (next.js: 18ms, proxy.ts: 5ms, application-code: 12ms)
 GET /api/auth/session 200 in 19ms (next.js: 5ms, proxy.ts: 4ms, application-code: 10ms)
 GET /api/notifications 200 in 445ms (next.js: 2ms, proxy.ts: 4ms, application-code: 439ms)
 GET /api/notifications 200 in 444ms (next.js: 6ms, proxy.ts: 4ms, application-code: 434ms)
 GET /api/notifications 200 in 545ms (next.js: 4ms, proxy.ts: 8ms, application-code: 533ms)
